,,"Purpose of This Spreadsheet is to Outline the Methodology of System 30
Branches Traded in 2026 OOS
Updated Till Mon 3-23-26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ticker (444),Condition (444),Profit %,IS Profit %,Profit $ Per Year,IS Profit $ Per Year,Time in market%,IS Time in market%,TIMAR%,IS TIMAR%,Max DD%,IS Max DD%,Total Trades,IS Total Trades,AVG Trades Per Month,IS AVG Trades Per Month,Win %,IS Win %,Risk to Reward Ratio,IS Risk to Reward Ratio,Avg P&L $,IS Avg P&L $,Avg P&L %,IS Avg P&L %,AVG Hold Period (days),IS AVG Hold Period (days),Max Consec. Losing Days,IS Max Consec. Losing Days,Max Consec. Winning Days,IS Max Consec. Winning Days,Max Consec. Losing Weeks,IS Max Consec. Losing Weeks,Max Consec. Winning Weeks,IS Max Consec. Winning Weeks,Max Consec. Losing Months,IS Max Consec. Losing Months,Max Consec. Winning Months,IS Max Consec. Winning Months,Win to Loss Ratio,IS Win to Loss Ratio,Total Profitable Trades,IS Total Profitable Trades,Profit Factor,IS Profit Factor,Sharpe Ratio,IS Sharpe Ratio,Losing Days Streak $ Loss,IS Losing Days Streak $ Loss,Losing Days Streak % Loss,IS Losing Days Streak % Loss,Losing Weeks Streak $ Loss,IS Losing Weeks Streak $ Loss,Losing Weeks Streak % Loss,IS Losing Weeks Streak % Loss,Losing Months Streak $ Loss,IS Losing Months Streak $ Loss,Losing Months Streak % Loss,IS Losing Months Streak % Loss,Winning Trades%,IS Winning Trades%,Winning Days%,IS Winning Days%,Winning Weeks%,IS Winning Weeks%,Avg Win Trade $,IS Avg Win Trade $,Avg Losing Trade $,IS Avg Losing Trade $,Winning Months%,IS Winning Months%
GIGB,17d RSI GIGB LT40 - L GIGB,0.3 %,2.1 %,153,1055,100.0 %,5.2 %,0.3 %,40.6 %,-0.0 %,-1.3 %,3,3,0.2,0.2,66.7 %,66.7 %,7.2,9.4,51,348,0.1 %,0.7 %,3.7,3.3,1,1,1,2,1,1,1,2,0,1,1,1,2,2,2,2,14.4,18.8,1.2,1.6,-23,-59,-0.0 %,-0.1 %,-23,-59,-0.0 %,-0.1 %,0,-59,0.0 %,-0.1 %,66.7 %,66.7 %,66.7 %,66.7 %,66.7 %,66.7 %,82,551,-11,-59,100.0 %,50.0 %
GLD,7d RSI GLD LT37 - L GLD,0.5 %,15.8 %,255,7954,27.5 %,7.6 %,1.9 %,209.3 %,-8.8 %,-0.8 %,3,8,0.2,0.7,66.7 %,100.0 %,0.5,,85,927,0.2 %,1.9 %,2.7,1.4,1,0,1,8,1,0,1,8,1,0,1,7,2,,2,8,1.1,,0,5.1,-9358,0,-9.4 %,0.0 %,-5849,0,-5.8 %,0.0 %,-5849,0,-5.8 %,0.0 %,66.7 %,100.0 %,66.7 %,100.0 %,50.0 %,100.0 %,2467,927,-4679,0,50.0 %,100.0 %
GLL,6d RSI GLL LT10 - L GLL,4.3 %,8.1 %,2162,4093,100.0 %,6.8 %,4.3 %,120.4 %,0.0 %,-4.9 %,1,4,0.1,0.3,100.0 %,75.0 %,,2.9,2162,999,4.3 %,2.0 %,4,3.2,0,1,1,2,0,1,1,2,0,1,1,2,,3,1,3,,8.8,0,1.7,0,-510,0.0 %,-1.0 %,0,-510,0.0 %,-1.0 %,0,-198,0.0 %,-0.4 %,100.0 %,75.0 %,100.0 %,75.0 %,100.0 %,75.0 %,2162,1502,0,-510,100.0 %,66.7 %
GLTR,17d RSI GLTR LT52 - L GLTR,7.3 %,25.9 %,3633,13049,73.2 %,18.4 %,9.9 %,141.8 %,-10.6 %,-2.0 %,8,17,0.7,1.4,87.5 %,100.0 %,0.2,,454,684,0.9 %,1.4 %,2.6,1.7,1,0,6,17,1,0,4,14,1,0,1,8,7,,7,17,1.6,,0.5,6.1,-12278,0,-12.3 %,0.0 %,-8558,0,-8.6 %,0.0 %,-7369,0,-7.4 %,0.0 %,87.5 %,100.0 %,87.5 %,100.0 %,80.0 %,100.0 %,1396,684,-6139,0,50.0 %,100.0 %
GNR,20d RSI GNR LT50 - L GNR,0.9 %,18.4 %,448,9270,100.0 %,21.2 %,0.9 %,87.5 %,0.0 %,-12.0 %,1,18,0.1,1.5,100.0 %,83.3 %,,0.9,448,477,0.9 %,0.9 %,3,1.9,0,1,1,8,0,1,1,8,0,0,1,8,,5,1,15,,4.6,0,2.7,0,-1997,0.0 %,-4.0 %,0,-156,0.0 %,-0.3 %,0,0,0.0 %,0.0 %,100.0 %,83.3 %,100.0 %,83.3 %,100.0 %,92.9 %,448,733,0,-804,100.0 %,100.0 %
GOVI,4d RSI GOVI LT17 - L GOVI,0.6 %,2.5 %,275,1286,100.0 %,5.2 %,0.6 %,49.5 %,0.0 %,-1.1 %,1,4,0.1,0.3,100.0 %,100.0 %,,,275,316,0.6 %,0.6 %,1,2.2,0,0,1,4,0,0,1,4,0,0,1,3,,,1,4,,,0,13.6,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,275,316,0,0,100.0 %,100.0 %
GOVT,11d RSI GOVT LT38 - L GOVT,0.5 %,2.3 %,264,1160,30.0 %,6.8 %,1.8 %,34.1 %,-0.2 %,-0.3 %,4,6,0.3,0.5,50.0 %,100.0 %,3.2,,66,190,0.1 %,0.4 %,2.8,1.8,2,0,1,6,2,0,1,6,0,0,2,5,1,,2,6,3.2,,0.9,5.2,-240,0,-0.2 %,0.0 %,-240,0,-0.2 %,0.0 %,0,0,0.0 %,0.0 %,50.0 %,100.0 %,50.0 %,100.0 %,50.0 %,100.0 %,192,190,-60,0,100.0 %,100.0 %
GREK,20d RSI GREK LT58 - L GREK,-8.0 %,36.3 %,-4001,18293,100.0 %,42.8 %,-8.0 %,85.5 %,-9.8 %,-7.8 %,5,32,0.4,2.7,60.0 %,81.2 %,0.2,1.2,-800,492,-1.6 %,1.0 %,4.2,2.3,1,2,2,7,1,1,2,10,1,1,1,5,1.5,4.3,3,26,0.3,5,-1.1,3.8,-7344,-573,-7.3 %,-1.1 %,-7344,-1206,-7.3 %,-2.4 %,-10040,-39,-10.0 %,-0.1 %,60.0 %,81.2 %,60.0 %,81.2 %,60.0 %,83.3 %,466,756,-2700,-653,50.0 %,88.9 %
GRID,3d RSI GRID LT10 - L GRID,1.0 %,8.7 %,488,4358,100.0 %,5.6 %,1.0 %,155.6 %,0.0 %,-4.6 %,1,4,0.1,0.3,100.0 %,75.0 %,,4.8,488,1066,1.0 %,2.1 %,1,2.5,0,1,1,3,0,1,1,3,0,1,1,2,,3,1,3,,14.3,0,1.5,0,-320,0.0 %,-0.6 %,0,-320,0.0 %,-0.6 %,0,-320,0.0 %,-0.6 %,100.0 %,75.0 %,100.0 %,75.0 %,100.0 %,75.0 %,488,1528,0,-320,100.0 %,66.7 %
GSIE,3d RSI GSIE LT12 - L GSIE,6.5 %,11.2 %,3230,5666,52.9 %,7.6 %,12.2 %,149.1 %,0.0 %,-3.8 %,3,6,0.2,0.5,100.0 %,100.0 %,,,1077,904,2.2 %,1.8 %,2,2.2,0,0,3,6,0,0,3,6,0,0,1,5,,,3,6,,,4.1,2.4,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,1077,904,0,0,100.0 %,100.0 %
GSLC,4d RSI GSLC LT14 - L GSLC,0.7 %,9.7 %,343,4900,23.4 %,11.2 %,2.9 %,87.5 %,-0.3 %,-10.2 %,2,5,0.2,0.4,50.0 %,80.0 %,3,0.8,171,969,0.3 %,1.9 %,4.5,4.6,1,1,1,4,1,1,1,4,1,1,1,4,1,4,1,4,3,3.3,0.7,1.2,-347,-2098,-0.3 %,-4.2 %,-347,-2098,-0.3 %,-4.2 %,-347,-2098,-0.3 %,-4.2 %,50.0 %,80.0 %,50.0 %,80.0 %,50.0 %,80.0 %,516,1736,-174,-2098,50.0 %,80.0 %
GSY,4d RSI GSY LT69 - L GSY,0.2 %,0.5 %,120,239,85.0 %,10.8 %,0.3 %,4.4 %,0.0 %,-0.2 %,5,9,0.4,0.8,100.0 %,88.9 %,,,24,26,0.0 %,0.1 %,2.4,2,0,1,5,5,0,0,4,8,0,0,1,6,,8,5,8,,,6.7,6.1,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,88.9 %,100.0 %,88.9 %,100.0 %,100.0 %,24,30,0,0,100.0 %,100.0 %
GTO,3d RSI GTO LT18 - L GTO,-0.2 %,2.8 %,-110,1420,31.9 %,16.4 %,-0.7 %,17.3 %,-0.9 %,-1.9 %,3,11,0.2,0.9,66.7 %,81.8 %,0.4,1.3,-37,127,-0.1 %,0.2 %,4,2.7,1,1,1,4,1,1,1,4,1,1,1,3,2,4.5,2,9,0.8,5.8,-0.2,3,-948,-250,-0.9 %,-0.5 %,-948,-250,-0.9 %,-0.5 %,-540,-250,-0.5 %,-0.5 %,66.7 %,81.8 %,66.7 %,81.8 %,66.7 %,81.8 %,182,187,-474,-146,50.0 %,75.0 %
GVAL,3d RSI GVAL LT37 - L GVAL,2.8 %,26.4 %,1405,13294,60.0 %,26.8 %,4.7 %,99.2 %,-5.2 %,-5.7 %,6,19,0.5,1.6,83.3 %,84.2 %,0.3,3,234,638,0.5 %,1.3 %,2.5,2.5,1,1,3,10,1,1,3,10,0,1,2,7,5,5.3,5,16,1.5,16.2,0.4,2,-5349,-485,-5.3 %,-1.0 %,-5349,-485,-5.3 %,-1.0 %,0,-146,0.0 %,-0.3 %,83.3 %,84.2 %,83.3 %,84.2 %,83.3 %,84.2 %,816,807,-2675,-266,100.0 %,91.7 %
GVI,4d RSI GVI LT20 - L GVI,0.3 %,2.2 %,158,1109,21.3 %,7.2 %,1.5 %,30.8 %,-0.1 %,-0.1 %,3,7,0.2,0.6,66.7 %,100.0 %,2,,53,156,0.1 %,0.3 %,2.3,1.6,1,0,1,7,1,0,1,6,0,0,2,6,2,,2,7,4.1,,1.2,4.9,-103,0,-0.1 %,0.0 %,-103,0,-0.1 %,0.0 %,0,0,0.0 %,0.0 %,66.7 %,100.0 %,66.7 %,100.0 %,66.7 %,100.0 %,105,156,-51,0,100.0 %,100.0 %
HACK,13d RSI HACK LT33 - L HACK,6.2 %,18.9 %,3122,9504,40.7 %,6.0 %,15.3 %,316.8 %,0.0 %,-4.8 %,3,4,0.2,0.3,100.0 %,100.0 %,,,1041,2247,2.1 %,4.5 %,2.7,2.8,0,0,3,4,0,0,3,4,0,0,2,4,,,3,4,,,6.3,2.2,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,1041,2247,0,0,100.0 %,100.0 %
HDEF,21d RSI HDEF LT58 - L HDEF,0.9 %,24.7 %,450,12458,50.0 %,47.6 %,1.8 %,52.3 %,-1.8 %,-4.1 %,7,32,0.6,2.7,85.7 %,84.4 %,0.2,0.9,64,349,0.1 %,0.7 %,2.9,2.7,1,1,6,15,1,1,6,12,1,0,1,11,6,5.4,6,27,1.5,4.9,0.4,4.1,-1846,-849,-1.8 %,-1.7 %,-1846,-750,-1.8 %,-1.5 %,-1017,0,-1.0 %,0.0 %,85.7 %,84.4 %,85.7 %,84.4 %,85.7 %,81.8 %,229,518,-923,-566,50.0 %,100.0 %
HDV,18d RSI HDV LT50 - L HDV,1.4 %,20.3 %,707,10253,100.0 %,30.4 %,1.4 %,67.5 %,0.0 %,-4.7 %,1,21,0.1,1.8,100.0 %,90.5 %,,1.9,707,444,1.4 %,0.9 %,1,2.6,0,1,1,15,0,1,1,11,0,0,1,8,,9.5,1,19,,17.7,0,6,0,-555,0.0 %,-1.1 %,0,-555,0.0 %,-1.1 %,0,0,0.0 %,0.0 %,100.0 %,90.5 %,100.0 %,90.5 %,100.0 %,93.8 %,707,520,0,-280,100.0 %,100.0 %
HEFA,16d RSI HEFA LT42 - L HEFA,-0.1 %,6.2 %,-47,3135,85.7 %,6.8 %,-0.1 %,92.2 %,-0.7 %,-9.3 %,2,5,0.2,0.4,50.0 %,80.0 %,0.9,1.3,-24,612,-0.0 %,1.2 %,5,2.4,1,1,1,4,1,1,1,3,1,0,0,2,1,4,1,4,0.9,5.1,-0.1,1.9,-659,-740,-0.7 %,-1.5 %,-659,-22,-0.7 %,-0.0 %,-95,0,-0.1 %,0.0 %,50.0 %,80.0 %,50.0 %,80.0 %,50.0 %,75.0 %,282,950,-329,-740,0.0 %,100.0 %
HEWJ,16d RSI HEWJ LT44 - L HEWJ,4.9 %,18.1 %,2445,9095,78.6 %,11.2 %,6.2 %,162.4 %,0.0 %,-8.1 %,3,9,0.2,0.8,100.0 %,100.0 %,,,815,932,1.6 %,1.9 %,2.7,2.1,0,0,3,9,0,0,3,7,0,0,1,3,,,3,9,,,5.1,5.9,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,815,932,0,0,100.0 %,100.0 %
HFXI,20d RSI HFXI LT46 - L HFXI,0.9 %,9.0 %,433,4538,80.0 %,8.8 %,1.1 %,103.1 %,-0.6 %,-9.2 %,3,6,0.2,0.5,33.3 %,83.3 %,4.8,1.1,144,731,0.3 %,1.5 %,3,2.7,1,1,1,4,1,0,1,5,0,0,1,3,0.5,5,1,5,2.4,5.7,0.6,2.1,-593,-941,-0.6 %,-1.9 %,-593,0,-0.6 %,0.0 %,0,0,0.0 %,0.0 %,33.3 %,83.3 %,33.3 %,83.3 %,33.3 %,100.0 %,744,1065,-155,-941,100.0 %,100.0 %
HTRB,3d RSI HTRB LT16 - L HTRB,1.0 %,2.9 %,488,1438,66.7 %,10.4 %,1.5 %,27.6 %,0.0 %,-0.9 %,3,8,0.2,0.7,100.0 %,87.5 %,,4.7,163,176,0.3 %,0.3 %,2.3,2.2,0,1,3,6,0,0,3,7,0,0,1,7,,7,3,7,,32.8,3.3,5.3,0,-44,0.0 %,-0.1 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,87.5 %,100.0 %,87.5 %,100.0 %,100.0 %,163,208,0,-44,100.0 %,100.0 %
HYD,4d RSI HYD LT13 - L HYD,-0.1 %,1.8 %,-31,886,71.4 %,5.2 %,-0.1 %,34.1 %,-0.2 %,-2.6 %,2,3,0.2,0.2,50.0 %,66.7 %,0.7,1.8,-15,294,-0.0 %,0.6 %,4,3.3,1,1,1,2,1,1,1,2,1,1,0,1,1,2,1,2,0.7,3.6,-0.2,1.1,-220,-344,-0.2 %,-0.7 %,-220,-344,-0.2 %,-0.7 %,-62,-344,-0.1 %,-0.7 %,50.0 %,66.7 %,50.0 %,66.7 %,50.0 %,66.7 %,79,612,-110,-344,0.0 %,50.0 %
HYDB,15d RSI HYDB LT43 - L HYDB,-0.4 %,3.3 %,-207,1651,100.0 %,9.6 %,-0.4 %,34.4 %,-0.5 %,-4.8 %,3,8,0.2,0.7,66.7 %,87.5 %,0.1,0.6,-69,203,-0.1 %,0.4 %,4,2,1,1,1,5,1,1,1,4,1,0,0,5,2,7,2,7,0.2,4.3,-0.8,2,-543,-485,-0.5 %,-1.0 %,-543,-485,-0.5 %,-1.0 %,-414,0,-0.4 %,0.0 %,66.7 %,87.5 %,66.7 %,87.5 %,66.7 %,85.7 %,32,301,-272,-485,0.0 %,100.0 %
HYEM,16d RSI HYEM LT42 - L HYEM,-0.2 %,5.8 %,-88,2935,100.0 %,6.8 %,-0.2 %,86.3 %,0.0 %,-2.7 %,1,4,0.1,0.3,0.0 %,100.0 %,0,,-88,715,-0.2 %,1.4 %,8,3.2,1,0,0,4,1,0,0,4,1,0,0,2,0,,0,4,0,,0,3.1,-176,0,-0.2 %,0.0 %,-176,0,-0.2 %,0.0 %,-176,0,-0.2 %,0.0 %,0.0 %,100.0 %,0.0 %,100.0 %,0.0 %,100.0 %,0,715,-88,0,0.0 %,100.0 %
HYG,3d RSI HYG LT17 - L HYG,1.9 %,3.5 %,940,1772,34.5 %,10.8 %,5.5 %,32.8 %,0.0 %,-2.2 %,4,8,0.3,0.7,100.0 %,87.5 %,,4,235,217,0.5 %,0.4 %,1.5,2.4,0,1,4,6,0,1,4,6,0,1,2,5,,7,4,7,,28.3,7.8,2.6,0,-64,0.0 %,-0.1 %,0,-64,0.0 %,-0.1 %,0,-64,0.0 %,-0.1 %,100.0 %,87.5 %,100.0 %,87.5 %,100.0 %,87.5 %,235,257,0,-64,100.0 %,85.7 %
HYLB,3d RSI HYLB LT18 - L HYLB,1.2 %,4.9 %,605,2452,75.0 %,13.6 %,1.6 %,36.1 %,0.0 %,-2.2 %,3,9,0.2,0.8,100.0 %,100.0 %,,,202,265,0.4 %,0.5 %,2,2.8,0,0,3,9,0,0,3,9,0,0,1,7,,,3,9,,,3.3,4.2,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,202,265,0,0,100.0 %,100.0 %
HYLS,3d RSI HYLS LT11 - L HYLS,0.5 %,2.4 %,232,1215,35.0 %,10.8 %,1.3 %,22.5 %,0.0 %,-1.7 %,2,4,0.2,0.3,100.0 %,100.0 %,,,116,299,0.2 %,0.6 %,2.5,5.8,0,0,2,4,0,0,2,4,0,0,2,4,,,2,4,,,3,2.6,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,116,299,0,0,100.0 %,100.0 %
HYMB,4d RSI HYMB LT11 - L HYMB,0.6 %,1.9 %,301,981,76.9 %,6.4 %,0.8 %,30.6 %,0.0 %,-2.6 %,2,4,0.2,0.3,50.0 %,75.0 %,,3.4,150,242,0.3 %,0.5 %,4,3,1,1,1,3,1,1,1,3,0,1,1,2,1,3,1,3,,10.1,1.4,2.4,0,-106,0.0 %,-0.2 %,0,-106,0.0 %,-0.2 %,0,-106,0.0 %,-0.2 %,50.0 %,75.0 %,50.0 %,75.0 %,50.0 %,75.0 %,301,358,0,-106,100.0 %,66.7 %
HYS,18d RSI HYS LT48 - L HYS,-0.2 %,4.2 %,-87,2099,100.0 %,14.8 %,-0.2 %,28.4 %,-0.6 %,-6.1 %,4,11,0.3,0.9,50.0 %,90.9 %,0.7,1.1,-22,186,-0.0 %,0.4 %,4.5,2.4,2,1,2,6,2,1,2,5,1,0,0,5,1,10,2,10,0.7,11.1,-0.3,3.6,-601,-203,-0.6 %,-0.4 %,-601,-203,-0.6 %,-0.4 %,-174,0,-0.2 %,0.0 %,50.0 %,90.9 %,50.0 %,90.9 %,50.0 %,88.9 %,107,225,-150,-203,0.0 %,100.0 %
IAGG,4d RSI IAGG LT15 - L IAGG,-0.4 %,0.3 %,-209,167,100.0 %,5.2 %,-0.4 %,6.4 %,0.0 %,-0.4 %,1,3,0.1,0.2,0.0 %,66.7 %,0,4.5,-209,55,-0.4 %,0.1 %,6,3.3,1,1,0,1,1,1,0,1,1,1,0,1,0,2,0,2,0,9,0,1.4,-417,-21,-0.4 %,-0.0 %,-417,-21,-0.4 %,-0.0 %,-417,-21,-0.4 %,-0.0 %,0.0 %,66.7 %,0.0 %,66.7 %,0.0 %,66.7 %,0,93,-209,-21,0.0 %,66.7 %
IAI,9d RSI IAI LT27 - L IAI,6.1 %,2.8 %,3051,1401,70.0 %,5.2 %,8.7 %,53.9 %,0.0 %,-11.4 %,2,2,0.2,0.2,100.0 %,50.0 %,,1.7,1526,786,3.1 %,1.6 %,2,5.5,0,1,2,1,0,1,2,1,0,1,1,1,,1,2,1,,1.7,9.3,0.4,0,-2322,0.0 %,-4.6 %,0,-2322,0.0 %,-4.6 %,0,-2322,0.0 %,-4.6 %,100.0 %,50.0 %,100.0 %,50.0 %,100.0 %,50.0 %,1526,3893,0,-2322,100.0 %,50.0 %
IAT,5d RSI IAT LT14 - L IAT,1.0 %,14.8 %,518,7439,100.0 %,5.6 %,1.0 %,265.7 %,0.0 %,-4.4 %,1,4,0.1,0.3,100.0 %,100.0 %,,,518,1767,1.0 %,3.5 %,7,2.5,0,0,1,4,0,0,1,4,0,0,1,4,,,1,4,,,0,2.8,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,518,1767,0,0,100.0 %,100.0 %
IAU,7d RSI IAU LT37 - L IAU,0.4 %,15.5 %,182,7819,27.5 %,7.6 %,1.3 %,205.8 %,-8.8 %,-0.8 %,3,8,0.2,0.7,66.7 %,100.0 %,0.5,,61,912,0.1 %,1.8 %,2.7,1.4,1,0,1,8,1,0,1,8,1,0,1,7,2,,2,8,1,,0,5.3,-9355,0,-9.4 %,0.0 %,-5871,0,-5.9 %,0.0 %,-5871,0,-5.9 %,0.0 %,66.7 %,100.0 %,66.7 %,100.0 %,50.0 %,100.0 %,2430,912,-4677,0,50.0 %,100.0 %
IBDR,3d RSI IBDR LT50 - L IBDR,0.1 %,2.5 %,66,1262,92.9 %,35.6 %,0.1 %,7.1 %,0.0 %,-0.4 %,2,13,0.2,1.1,100.0 %,100.0 %,,,33,95,0.1 %,0.2 %,5.5,5.8,0,0,2,13,0,0,2,13,0,0,1,10,,,2,13,,,1.6,6.3,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,33,95,0,0,100.0 %,100.0 %
IBDS,3d RSI IBDS LT19 - L IBDS,-0.2 %,0.4 %,-93,213,100.0 %,6.4 %,-0.2 %,6.7 %,0.0 %,-0.3 %,1,4,0.1,0.3,0.0 %,75.0 %,0,,-93,53,-0.2 %,0.1 %,12,3,1,1,0,3,1,1,0,3,1,1,0,3,0,3,0,3,0,,0,2.8,-186,0,-0.2 %,0.0 %,-186,0,-0.2 %,0.0 %,-186,0,-0.2 %,0.0 %,0.0 %,75.0 %,0.0 %,75.0 %,0.0 %,75.0 %,0,70,-93,0,0.0 %,75.0 %
IBND,5d RSI IBND LT17 - L IBND,1.0 %,3.8 %,476,1928,54.5 %,6.0 %,1.7 %,64.3 %,0.0 %,-0.6 %,2,4,0.2,0.3,100.0 %,100.0 %,,,238,472,0.5 %,0.9 %,2,2.8,0,0,2,4,0,0,2,4,0,0,1,4,,,2,4,,,11.3,4.5,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,238,472,0,0,100.0 %,100.0 %
ICOW,19d RSI ICOW LT51 - L ICOW,1.3 %,10.2 %,627,5147,93.3 %,14.4 %,1.3 %,71.5 %,-0.1 %,-10.9 %,3,13,0.2,1.1,66.7 %,84.6 %,5.8,0.6,209,381,0.4 %,0.8 %,3.7,1.8,1,1,2,7,1,1,2,5,0,0,1,6,2,5.5,2,11,11.6,3.3,1.8,1.8,-119,-1667,-0.1 %,-3.3 %,-119,-403,-0.1 %,-0.8 %,0,0,0.0 %,0.0 %,66.7 %,84.6 %,66.7 %,84.6 %,66.7 %,80.0 %,343,645,-59,-1070,100.0 %,100.0 %
ICSH,9d RSI ICSH LT66 - L ICSH,0.1 %,0.4 %,69,187,100.0 %,5.6 %,0.1 %,6.7 %,0.0 %,-0.0 %,3,3,0.2,0.2,66.7 %,100.0 %,,,23,62,0.0 %,0.1 %,3.3,3.7,1,0,1,3,1,0,1,3,0,0,1,2,2,,2,3,,,2.4,4.8,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,66.7 %,100.0 %,66.7 %,100.0 %,66.7 %,100.0 %,35,62,0,0,100.0 %,100.0 %
IDEV,19d RSI IDEV LT42 - L IDEV,1.3 %,10.1 %,639,5090,85.7 %,5.6 %,1.5 %,181.8 %,-0.0 %,-3.7 %,3,5,0.2,0.4,66.7 %,100.0 %,18.2,,213,977,0.4 %,1.9 %,3,1.8,1,0,2,5,1,0,2,4,0,0,1,3,2,,2,5,36.5,,2.2,2.8,-36,0,-0.0 %,0.0 %,-36,0,-0.0 %,0.0 %,0,0,0.0 %,0.0 %,66.7 %,100.0 %,66.7 %,100.0 %,66.7 %,100.0 %,328,977,-18,0,100.0 %,100.0 %
IDMO,4d RSI IDMO LT30 - L IDMO,8.4 %,15.9 %,4196,8008,40.0 %,11.6 %,21.0 %,138.1 %,-0.4 %,-5.0 %,5,10,0.4,0.8,80.0 %,100.0 %,5,,839,749,1.7 %,1.5 %,1.8,1.9,1,0,2,10,1,0,2,10,0,0,2,7,4,,4,10,20.1,,2.4,2.9,-440,0,-0.4 %,0.0 %,-440,0,-0.4 %,0.0 %,0,0,0.0 %,0.0 %,80.0 %,100.0 %,80.0 %,100.0 %,80.0 %,100.0 %,1104,749,-220,0,100.0 %,100.0 %
IDU,4d RSI IDU LT12 - L IDU,2.5 %,6.5 %,1230,3266,100.0 %,5.2 %,2.5 %,125.6 %,0.0 %,-3.0 %,1,4,0.1,0.3,100.0 %,100.0 %,,,1230,793,2.5 %,1.6 %,5,2.2,0,0,1,4,0,0,1,4,0,0,1,4,,,1,4,,,0,3.2,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,1230,793,0,0,100.0 %,100.0 %
IDV,21d RSI IDV LT60 - L IDV,-2.7 %,19.8 %,-1363,9973,100.0 %,34.8 %,-2.7 %,57.3 %,-1.8 %,-4.7 %,3,29,0.2,2.4,33.3 %,82.8 %,0.3,2,-454,314,-0.9 %,0.6 %,4.7,2,1,1,1,12,1,2,1,7,1,0,0,7,0.5,4.8,1,24,0.1,9.7,-1.6,4.7,-1742,-381,-1.7 %,-0.8 %,-1742,-116,-1.7 %,-0.2 %,-2725,0,-2.7 %,0.0 %,33.3 %,82.8 %,33.3 %,82.8 %,33.3 %,83.3 %,215,422,-789,-209,0.0 %,100.0 %
IDX,5d RSI IDX LT14 - L IDX,-3.7 %,13.1 %,-1841,6577,41.0 %,5.2 %,-9.0 %,253.0 %,-9.7 %,-3.4 %,3,5,0.2,0.4,66.7 %,100.0 %,0.3,,-614,1260,-1.2 %,2.5 %,4.3,1.6,1,0,1,5,1,0,1,5,1,0,1,4,2,,2,5,0.6,,-0.3,2.1,-10060,0,-10.1 %,0.0 %,-10060,0,-10.1 %,0.0 %,-7472,0,-7.5 %,0.0 %,66.7 %,100.0 %,66.7 %,100.0 %,66.7 %,100.0 %,1594,1260,-5030,0,50.0 %,100.0 %
IEF,3d RSI IEF LT13 - L IEF,1.1 %,4.3 %,557,2178,19.1 %,6.8 %,5.8 %,64.1 %,0.0 %,-0.2 %,3,7,0.2,0.6,100.0 %,100.0 %,,,186,303,0.4 %,0.6 %,2,1.4,0,0,3,7,0,0,3,7,0,0,2,7,,,3,7,,,6.4,5.5,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,186,303,0,0,100.0 %,100.0 %
